RC0182080	DISTRIBUTOR	CARDINAL HEALTH	null	2045 INTERSTATE DRIVE	null	LAKELAND	FL	33805	POLK	BW5747677	CHAIN PHARMACY	WINN DIXIE STORES, INC.	null	WINN-DIXIE PHARMACY #265	1101 SOUTH MILITARY TRAIL	DEERFIELD BEACH	FL	33442	BROWARD	S	9193	00406036101	HYDROCODONE	1.0	null	null	null	null	0000	04102006	0.6054	100.0	604018409	HYDROCODO.BIT 10MG&AC USP TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Cardinal Health	10.0
RW0243903	DISTRIBUTOR	CARDINAL HEALTH	null	4 CARDINAL HEALTH CT.	null	GREENSBORO	NC	27407	GUILFORD	BC5792026	CHAIN PHARMACY	SOUTH CAROLINA CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 04185	11211 ASHEVILLE HWY.	null	INMAN	SC	29349	SPARTANBURG	S	9143	59011010310	OXYCODONE	1.0	null	null	054219963	null	0000	03222006	1.7930000000000001	100.0	603062714	OXYCONTIN (OXYCODONE.HCL) CONTROLLED	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	20.0
RM0138328	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	4012 S PURDUE AVE	OKLAHOMA CITY	OK	73179	OKLAHOMA	BT6516821	CHAIN PHARMACY	TARGET STORES A DIV.OF TARGET CORP.	TARGET STORE T-0092	ATTN: PHARMACY	301 S TOWNE EAST MALL DR.	WICHITA	KS	67207	SEDGWICK	S	9193	00591038505	HYDROCODONE	1.0	null	null	null	null	null	09132006	2.27025	500.0	609017713	HYDROCODONE BIT.7.5MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
RW0308216	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREENS	17500 PERRIS BLVD	MORENO VALLEY	CA	92551	RIVERSIDE	BW6593948	CHAIN PHARMACY	WALGREEN ARIZONA DRUG CO.	DBA: WALGREENS # 05266	21632 N 35TH AVE	null	GLENDALE	AZ	85308	MARICOPA	S	9193	00406036101	HYDROCODONE	1.0	null	null	null	null	0000	04062006	0.6054	100.0	7295	HYDROCODO.BIT 10MG&AC USP TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Walgreen Co	10.0
RT0223874	DISTRIBUTOR	THRIFTY PAYLESS INC	null	DBA WOODLAND DISTRIBUTION CTR	1755 EAST BEAMER STREET	WOODLAND	CA	95776	YOLO	BT5250105	CHAIN PHARMACY	THRIFTY PAYLESS INC.	RITE AID #5779	11496 NORTH VENTURA AVE.	null	OJAI (MIRA MONTE)	CA	93023	VENTURA	S	9193	00406036701	HYDROCODONE	17.0	null	null	null	null	null	06242006	10.2918	1700.0	15121	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Thrifty Payless Inc	10.0
PM0150538	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO	710 132ND STREET SW	EVERETT	WA	98204	SNOHOMISH	BB4979843	CHAIN PHARMACY	BARTELL DRUGS #33	null	1115 13TH STREET	null	SNOHOMISH	WA	98290	SNOHOMISH	S	9143	60951070070	OXYCODONE	1.0	null	null	065506384	null	null	12112006	0.672375	100.0	612040746	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0258601	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	2798 NEW BUTLER RD	NEW CASTLE	PA	16101	LAWRENCE	AB1569396	RETAIL PHARMACY	BLOOMFIELD DRUG STORE	BLOOMFIELD DRUG STORE	4727 LIBERTY AVE	null	PITTSBURGH	PA	15224	ALLEGHENY	S	9143	00406051205	OXYCODONE	1.0	null	null	062081787	null	null	07212006	2.24125	500.0	607009041	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5.0
PK0070297	DISTRIBUTOR	KINRAY INC	null	152-35 10TH AVE.	null	WHITESTONE	NY	11357	QUEENS	AG2631756	RETAIL PHARMACY	GRAEBERS PHARMACY INC	null	172 WEST MAIN ST	null	MERIDEN	CT	6451	NEW HAVEN	S	9143	60951071270	OXYCODONE	2.0	null	null	057414828	null	null	06272006	1.7930000000000001	200.0	12647	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Kinray Inc	10.0
RG0131499	DISTRIBUTOR	THE HARVARD DRUG GROUP-MI	EXPERT-MED/LETCO MEDICAL	FIRST VETERINARY SUPPLY	31778 ENTERPRISE DRIVE	LIVONIA	MI	48150	WAYNE	AX3255672	RETAIL PHARMACY	XINIM-CORP	HOLLY HILL PHARMACY	1702 C-D RIGEWOOD AVENUE	null	HOLLY HILL	FL	32117	VOLUSIA	S	9193	00591034905	HYDROCODONE	2.0	null	null	null	null	null	02032006	3.0269999999999997	1000.0	306019400	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	The Harvard Drug Group	5.0
RW0282145	DISTRIBUTOR	WAL-MART PHARMACY WHSE #45	null	2250 NORTH 8TH STREET	SUITE 102-A	ROGERS	AR	72756	BENTON	BW5414242	CHAIN PHARMACY	WAL-MART PHARMACY 10-1643	null	377 N ROLLING MEADOWS DR	null	FOND DU LAC	WI	54935	FOND DU LAC	S	9143	60951079770	OXYCODONE	1.0	null	null	055779082	null	null	02062006	0.8965	100.0	602037464	ENDOCET TABS - 10MG OXYCODONE.HCL &	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Wal-Mart	10.0
